No,Kandang,Luas_m2,Jumlah_Ayam,Kepadatan,No2,Jumlah_Ayam2,Mati,Afkir,Deplesi_pct,Sisa_Hidup
1,5A,464.95,5220,11.23,,,,,,
2,5B,428.7,4330,10.1,,,,,,
3,6,333.0,3240,9.73,3.0,3240.0,20.0,0.0,0.62,3220.0
4,7A,451.8,4640,10.27,,,,,,
5,7B,438.05,4480,10.23,,,,,,
6,8,396.0,4531,11.44,4.0,4531.0,17.0,6.0,0.51,4508.0
7,9A,444.6,4449,10.01,5.0,4449.0,24.0,4.0,0.63,4421.0
8,9B,447.3,4650,10.4,6.0,4650.0,52.0,0.0,1.12,4598.0
9,10,297.0,3191,10.74,7.0,3191.0,12.0,7.0,0.6,3172.0
10,11A,450.0,4800,10.67,8.0,4800.0,76.0,3.0,1.65,4721.0
11,11B,450.0,5300,11.78,9.0,5300.0,34.0,5.0,0.74,5261.0
12,12,333.0,4200,12.61,10.0,4200.0,13.0,4.0,0.4,4183.0
13,13A,400.8,4378,10.92,11.0,4378.0,11.0,3.0,0.32,4364.0
14,13B,400.0,4700,11.75,12.0,4700.0,16.0,3.0,0.4,4681.0
15,14,364.5,4608,12.64,13.0,4608.0,26.0,6.0,0.69,4576.0
16,15A,400.0,4694,11.74,1.0,4694.0,39.0,0.0,0.83,4655.0
17,15B,400.0,5516,13.79,2.0,5516.0,20.0,7.0,0.49,5489.0
18,16,371.0,3993,10.76,14.0,3991.0,25.0,4.0,0.73,3962.0
19,18,371.0,3991,10.76,15.0,3991.0,24.0,5.0,0.73,3962.0
20,20,371.0,3994,10.77,16.0,3994.0,12.0,7.0,0.48,3975.0
